Base Pay,Job Role,Skills,Base Pay Range,sex,age,Mother_education,Father_education,Mother_job,Father_job,studytime,backlogs,tuition,pursue_higher_studies,Internet_usage,absences,SSC,HSC,Grad
35000,Clerk,"Organizational Skills, Attention to Detail, Computer Skills, Communication, Time Management",10000-15000,Female,22,0,2,Public,Public,1,0,Yes,Yes,No,5,11,10,12
70000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,25,1,2,Public,Teacher,1,1,Yes,Yes,Yes,5,12,12,17
68000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,25,1,2,Teacher,Teacher,1,1,Yes,Yes,Yes,5,12,12,16
90000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Male,29,1,2,Teacher,Teacher,3,0,Yes,Yes,Yes,6,13,14,15
38000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,23,3,0,Public,Teacher,3,1,No,Yes,No,12,16,16,17
53000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,26,0,2,Public,Health,1,1,Yes,Yes,Yes,5,14,15,16
72000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Male,24,2,1,Health,Public,3,0,No,Yes,Yes,11,15,14,15
71000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,29,1,3,At Home,Health,1,0,Yes,Yes,Yes,2,13,16,18
70000,Teacher,"Subject Knowledge, Communication, Patience, Creativity, Classroom Management",30000-40000,Female,23,2,1,Public,Public,3,0,Yes,Yes,Yes,6,15,14,15
45000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Female,30,2,1,Public,Public,3,0,Yes,Yes,Yes,9,16,14,15
52000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,25,0,2,Public,Public,1,0,Yes,Yes,Yes,3,11,10,12
75000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,28,1,2,At Home,Health,1,1,Yes,Yes,Yes,9,13,16,17
88000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Male,28,1,2,Teacher,Teacher,3,0,Yes,Yes,Yes,8,13,14,15
64000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,27,3,0,Public,Health,2,0,No,Yes,Yes,4,15,13,16
68000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,23,2,1,Public,Health,3,0,Yes,Yes,Yes,6,11,10,12
57000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,23,1,2,Public,Teacher,1,1,Yes,Yes,Yes,5,12,12,16
85000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,27,2,1,Public,Health,2,0,Yes,Yes,Yes,4,11,12,13
75000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,24,1,2,Public,Health,2,0,Yes,Yes,Yes,4,14,13,16
68000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,23,2,1,Public,Health,1,0,Yes,Yes,Yes,3,10,11,12
35000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,22,1,3,Other,Teacher,1,1,Yes,Yes,No,1,13,11,14
28000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,27,1,2,Health,Public,2,1,Yes,Yes,Yes,2,14,12,13
40000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Male,28,0,1,Public,Public,3,0,Yes,Yes,Yes,9,13,16,17
38000,Teacher,"Subject Knowledge, Communication, Patience, Creativity, Classroom Management",30000-40000,Male,24,3,0,Teacher,Other,3,1,Yes,Yes,Yes,9,16,11,12
62000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,27,0,1,Public,Public,3,0,Yes,Yes,Yes,2,10,11,12
70000,Teacher,"Subject Knowledge, Communication, Patience, Creativity, Classroom Management",30000-40000,Male,26,2,1,Public,Public,2,0,Yes,Yes,Yes,6,12,13,14
76000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,25,3,0,Public,Teacher,2,1,No,Yes,Yes,6,14,12,16
90000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,27,2,1,Public,Health,2,0,Yes,Yes,Yes,4,11,12,13
35000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,23,3,1,Public,Teacher,1,1,No,Yes,No,6,11,10,14
52000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,29,3,1,Health,Health,3,0,Yes,Yes,Yes,7,16,13,13
45000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,26,1,2,Teacher,Teacher,2,1,Yes,Yes,Yes,10,14,15,16
80000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Male,28,0,3,Health,Health,3,0,Yes,Yes,Yes,7,12,12,15
48000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,30,3,1,Teacher,Teacher,2,1,Yes,Yes,Yes,9,14,15,16
60000,Teacher,"Subject Knowledge, Communication, Patience, Creativity, Classroom Management",30000-40000,Female,25,1,3,Public,Public,3,1,No,Yes,Yes,5,15,15,16
25000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,29,2,1,Public,Public,4,0,Yes,No,Yes,3,9,10,11
38000,Teacher,"Subject Knowledge, Communication, Patience, Creativity, Classroom Management",30000-40000,Female,24,3,0,Public,Public,3,0,No,Yes,Yes,7,14,14,16
62000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,28,2,1,Teacher,Public,1,0,Yes,Yes,Yes,8,13,14,15
62000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,27,2,1,Public,Public,3,0,No,Yes,Yes,5,13,14,15
60000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,23,3,0,Public,Teacher,2,1,No,Yes,Yes,4,14,13,16
26000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,24,0,1,Public,Public,4,0,Yes,No,Yes,3,10,11,12
60000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,25,3,0,Public,Teacher,2,1,No,Yes,Yes,5,14,12,16
58000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,26,1,2,Teacher,Teacher,2,1,Yes,Yes,Yes,10,14,15,16
68000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,25,1,2,Teacher,Teacher,3,0,Yes,Yes,Yes,8,13,14,15
35000,Teacher,"Subject Knowledge, Communication, Patience, Creativity, Classroom Management",30000-40000,Female,22,1,3,Public,Public,1,0,Yes,Yes,Yes,10,13,16,17
57000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,23,1,2,Public,Health,1,1,Yes,Yes,Yes,5,14,15,16
45000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,29,3,0,Public,Public,3,0,No,Yes,Yes,6,14,11,12
55000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,29,2,1,Public,Public,2,0,No,Yes,Yes,5,15,13,14
90000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Male,28,1,2,Teacher,Teacher,3,0,Yes,Yes,Yes,8,13,14,15
65000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,26,3,0,Public,Teacher,2,1,No,Yes,Yes,5,14,12,16
45000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,27,1,2,Teacher,Teacher,2,1,Yes,Yes,Yes,10,14,15,16
68000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,27,3,0,Public,Teacher,2,1,No,Yes,Yes,3,14,12,16
47000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,29,0,1,Public,Public,1,1,Yes,Yes,Yes,10,14,15,16
50000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,29,2,1,Public,Public,2,0,No,Yes,Yes,5,15,12,13
90000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Male,28,1,2,Teacher,Teacher,3,0,Yes,Yes,Yes,8,13,14,15
55000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,23,2,2,Public,Teacher,3,1,Yes,Yes,Yes,10,11,12,14
72000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,24,2,1,Public,Health,2,0,Yes,Yes,Yes,3,10,11,12
62000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Male,27,1,2,Health,Health,3,0,Yes,Yes,Yes,5,16,14,15
62000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,25,1,2,Health,Teacher,1,1,Yes,Yes,Yes,5,12,12,16
52000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Female,26,3,0,Teacher,Teacher,3,1,No,Yes,No,13,14,15,16
75000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,28,1,2,At Home,Health,1,1,Yes,Yes,Yes,9,13,16,17
35000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,21,1,3,Other,Teacher,1,0,Yes,Yes,Yes,10,13,15,16
42000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,22,1,3,Other,Teacher,1,1,Yes,Yes,Yes,9,13,16,18
32000,Teacher,"Subject Knowledge, Communication, Patience, Creativity, Classroom Management",30000-40000,Male,22,1,3,Public,Public,1,0,No,Yes,Yes,1,13,16,17
71000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Male,24,2,1,Public,Health,1,0,No,Yes,Yes,5,10,11,16
62000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,24,2,1,Public,Public,1,0,Yes,Yes,Yes,2,12,12,13
70000,Technician,"Technical Skills, Problem-Solving, Attention to Detail, Manual Dexterity, Communication",10000-20000,Male,26,2,1,Health,Public,3,0,Yes,Yes,Yes,7,18,12,13
50000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,30,2,1,Public,Public,2,0,No,Yes,Yes,9,18,15,16
30000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,20,1,3,Other,Teacher,1,0,Yes,Yes,No,1,13,11,14
70000,Technician,"Technical Skills, Problem-Solving, Attention to Detail, Manual Dexterity, Communication",10000-20000,Male,26,3,0,Teacher,Public,2,0,No,Yes,Yes,4,13,12,13
72000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,27,3,0,Health,Health,3,1,No,Yes,No,14,17,16,18
55000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Male,23,0,1,Public,Public,3,0,No,Yes,Yes,10,14,16,17
55000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,23,2,2,Public,Public,3,1,Yes,Yes,Yes,10,15,15,16
62000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,25,1,2,Public,Teacher,2,1,Yes,Yes,Yes,5,14,12,17
42000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,26,1,2,Health,Health,3,1,Yes,Yes,Yes,8,12,10,16
50000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,30,2,1,Public,Public,3,0,No,Yes,Yes,6,15,14,15
43000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,24,0,2,Other,Teacher,1,1,Yes,Yes,No,0,13,11,13
50000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,30,3,1,Health,Health,3,1,No,Yes,Yes,12,18,14,16
43000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,28,0,1,Public,Public,1,0,Yes,Yes,Yes,10,13,14,15
75000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,30,0,3,At Home,Health,1,1,No,Yes,Yes,6,11,14,18
32000,Clerk,"Organizational Skills, Attention to Detail, Computer Skills, Communication, Time Management",10000-15000,Female,22,0,2,Public,Public,1,1,Yes,Yes,Yes,8,13,16,17
35000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Female,21,1,3,Other,Teacher,1,0,No,Yes,Yes,2,13,15,19
25000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,29,0,1,Public,Public,4,0,Yes,No,Yes,3,10,11,11
80000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,27,2,1,Public,Health,2,0,Yes,Yes,Yes,4,11,12,13
40000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,28,0,1,Public,Public,3,0,Yes,Yes,Yes,2,10,11,12
62000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,25,1,2,Public,Health,1,1,Yes,Yes,Yes,5,14,15,16
62000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,25,1,2,Public,Health,1,1,Yes,Yes,Yes,5,14,15,16
26000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,28,0,1,Public,Public,4,0,Yes,No,Yes,3,9,10,12
42000,Technician,"Technical Skills, Problem-Solving, Attention to Detail, Manual Dexterity, Communication",10000-20000,Female,24,0,3,Public,Public,1,1,Yes,Yes,Yes,10,13,15,16
88000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,27,2,1,Public,Health,2,0,Yes,Yes,Yes,4,11,12,13
95000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Male,25,1,2,Teacher,Teacher,3,1,Yes,Yes,Yes,9,14,15,16
75000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,26,2,1,Public,Teacher,1,0,Yes,Yes,Yes,3,10,11,12
48000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,25,0,1,Public,Public,1,0,Yes,Yes,Yes,8,14,15,16
64000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,24,1,2,Public,Health,1,1,Yes,Yes,Yes,5,14,15,16
60000,Teacher,"Subject Knowledge, Communication, Patience, Creativity, Classroom Management",30000-40000,Male,26,0,2,Health,Public,2,2,Yes,Yes,Yes,11,14,12,13
66000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,23,1,2,Teacher,Teacher,1,1,Yes,Yes,Yes,5,12,12,16
75000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,26,3,0,Public,Teacher,2,1,No,Yes,Yes,3,14,13,14
80000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Male,28,1,2,At Home,Health,1,1,Yes,Yes,Yes,3,14,16,17
32000,Clerk,"Organizational Skills, Attention to Detail, Computer Skills, Communication, Time Management",10000-15000,Female,22,0,1,Public,Public,1,1,No,Yes,Yes,6,11,9,12
60000,Teacher,"Subject Knowledge, Communication, Patience, Creativity, Classroom Management",30000-40000,Female,25,1,3,Public,Public,3,0,Yes,Yes,Yes,8,13,14,17
28000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,23,2,1,Public,Public,4,0,Yes,No,Yes,3,9,10,11
38000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,24,0,1,Public,Public,4,0,Yes,No,Yes,3,10,11,12
75000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,28,1,2,Health,Public,2,1,Yes,Yes,Yes,12,14,15,16
65000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,24,1,2,Health,Public,1,1,Yes,Yes,Yes,5,14,15,16
60000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,27,2,1,Teacher,Public,2,0,Yes,Yes,Yes,8,11,12,13
39000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,29,0,1,Public,Public,1,0,Yes,Yes,Yes,10,13,14,15
60000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,24,2,1,Public,Public,2,0,Yes,Yes,Yes,2,10,11,12
60000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,24,3,0,Public,Health,4,1,No,Yes,Yes,10,18,11,16
42000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,27,1,2,Health,Health,3,0,Yes,Yes,Yes,2,15,14,15
76000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,25,3,0,Public,Teacher,2,1,No,Yes,Yes,5,14,12,16
71000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Male,29,0,2,Health,Health,1,1,Yes,Yes,Yes,4,14,15,16
74000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,26,2,2,Public,Teacher,1,0,No,Yes,Yes,9,11,12,16
90000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,28,2,1,Health,Public,2,0,Yes,Yes,Yes,4,10,11,12
56000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,28,3,1,Health,Health,3,0,No,Yes,Yes,10,18,13,16
75000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,24,3,0,Public,Health,2,0,No,Yes,Yes,3,14,12,16
86000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,27,2,1,Public,Health,2,0,Yes,Yes,Yes,4,11,12,13
75000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,24,1,2,Health,Public,2,1,Yes,Yes,Yes,12,14,14,13
72000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,29,1,3,At Home,Health,1,0,Yes,Yes,Yes,2,14,16,19
92000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Male,28,1,2,Teacher,Teacher,3,0,Yes,Yes,Yes,6,13,14,15
48000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,26,0,1,Public,Public,3,0,Yes,Yes,Yes,2,10,11,12
60000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,25,1,2,Public,Teacher,2,1,Yes,Yes,Yes,8,13,12,16
36000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,24,3,0,Teacher,Teacher,3,1,No,Yes,No,12,15,16,17
50000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,20,1,3,Other,Teacher,1,0,Yes,Yes,No,1,13,11,14
75000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,30,0,3,At Home,Health,1,1,No,Yes,Yes,12,11,15,18
45000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,27,1,2,Teacher,Teacher,2,1,Yes,Yes,Yes,10,14,15,16
90000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Male,25,1,2,Teacher,Teacher,3,1,Yes,Yes,Yes,9,14,15,16
96000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Male,28,1,2,Public,Health,1,0,Yes,Yes,Yes,6,13,14,15
52000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,29,0,1,Public,Public,1,1,Yes,Yes,Yes,10,13,14,15
40000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,28,1,2,Other,Teacher,1,1,Yes,Yes,Yes,2,13,14,15
53000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Female,26,3,0,Teacher,Teacher,3,1,No,Yes,No,13,14,15,16
23000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,29,2,1,Public,Public,4,0,Yes,No,Yes,4,9,10,11
28000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,26,2,1,Public,Public,4,0,Yes,No,Yes,3,9,10,11
42000,Technician,"Technical Skills, Problem-Solving, Attention to Detail, Manual Dexterity, Communication",10000-20000,Female,22,3,0,Public,Public,3,0,No,Yes,Yes,7,14,13,14
96000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Male,24,1,2,Teacher,Teacher,3,0,Yes,Yes,Yes,8,13,14,15
53000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Female,26,3,0,Teacher,Teacher,3,1,No,Yes,No,13,14,15,16
64000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,24,2,1,Public,Public,1,0,Yes,Yes,Yes,3,10,11,12
52000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Female,26,3,0,Teacher,Teacher,3,1,No,Yes,No,13,14,15,16
32000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,22,1,3,Other,Teacher,1,1,Yes,Yes,No,2,13,11,14
68000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,26,3,0,Public,Health,2,0,No,Yes,Yes,3,14,13,14
85000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,25,0,3,At Home,Health,1,1,No,Yes,Yes,12,11,15,19
68000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,24,2,1,Public,Health,1,0,Yes,Yes,Yes,3,10,11,12
43000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,28,0,1,Public,Public,1,0,Yes,Yes,Yes,10,13,14,15
59000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,30,1,2,Health,Teacher,3,0,Yes,Yes,Yes,1,18,14,15
38000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,22,1,3,Other,Teacher,1,1,Yes,Yes,No,2,13,11,14
73000,Teacher,"Subject Knowledge, Communication, Patience, Creativity, Classroom Management",30000-40000,Male,26,2,1,Public,Public,3,0,Yes,Yes,Yes,6,16,14,15
38000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Female,21,2,2,Public,Teacher,3,1,Yes,Yes,No,3,16,15,16
45000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,28,0,1,Public,Public,1,0,Yes,Yes,Yes,10,13,14,15
85000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,28,2,1,Health,Public,2,0,Yes,Yes,Yes,4,10,11,12
38000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,29,3,0,Public,Teacher,2,1,Yes,Yes,Yes,7,14,15,16
55000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,26,1,2,Teacher,Teacher,2,1,Yes,Yes,Yes,10,14,15,16
32000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,24,3,0,Teacher,Public,4,0,Yes,No,Yes,3,9,10,11
40000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,29,0,1,Public,Public,1,1,Yes,Yes,Yes,8,13,14,15
58000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,23,2,2,Public,Public,3,1,Yes,Yes,Yes,8,15,15,18
85000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,25,0,3,At Home,Health,1,1,Yes,Yes,Yes,9,13,16,18
53000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Female,26,3,0,Teacher,Teacher,3,1,No,Yes,No,13,14,15,16
85000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,24,0,3,At Home,Health,1,1,No,Yes,Yes,6,12,15,18
68000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Female,29,2,1,Public,Health,1,0,Yes,Yes,Yes,3,10,11,12
35000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,20,1,3,Other,Teacher,1,0,Yes,Yes,No,0,13,12,14
45000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,26,0,2,Other,Teacher,1,1,Yes,Yes,Yes,5,12,10,16
23000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,24,2,1,Public,Public,4,0,Yes,No,Yes,3,9,10,11
60000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,27,2,0,Teacher,Public,2,0,No,Yes,No,9,18,11,12
32000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,22,1,3,Other,Teacher,1,1,Yes,Yes,No,0,13,11,14
55000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Male,23,0,2,Public,Teacher,2,1,Yes,Yes,Yes,11,13,12,13
42000,Manager,"Leadership, Project Management, Decision-Making, Communication, Time Management",70000-90000,Female,24,0,2,Public,Public,1,0,Yes,Yes,Yes,10,13,15,16
32000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Male,21,1,3,Other,Teacher,1,1,Yes,Yes,No,2,13,11,14
34000,Salesperson,"Communication, Negotiation, Customer Service, Persuasion, Networking",20000-30000,Female,23,3,1,Public,Teacher,3,1,No,Yes,No,12,16,16,17
68000,Doctor,"Medical Knowledge, Patient Care, Critical Thinking, Attention to Detail, Communication",60000-80000,Female,23,2,1,Public,Health,3,0,Yes,Yes,Yes,7,11,12,13
42000,Engineer,"Technical Skills, Mathematics, Project Management, Communication, Critical Thinking",40000-50000,Male,28,0,1,Public,Public,3,0,Yes,Yes,Yes,2,10,11,12
